location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,-6.85413,111.00253,17.0,0,GMT,GMT
1,-7.41652,108.549614,26.0,0,GMT,GMT
2,-6.9244285,112.99325,18.0,0,GMT,GMT
3,-6.362038,108.015076,10.0,0,GMT,GMT
4,-6.9244285,109.502525,9.0,0,GMT,GMT
5,-6.9244285,112.006744,13.0,0,GMT,GMT
6,-8.400702,112.557945,32.0,0,GMT,GMT
7,-7.41652,107.0229,20.0,0,GMT,GMT
8,-6.4323373,105.99329,121.0,0,GMT,GMT
9,-7.9086113,111.50171,108.0,0,GMT,GMT
10,-6.4323373,106.974014,72.0,0,GMT,GMT
11,-6.9244285,113.97976,73.0,0,GMT,GMT
12,-7.9086113,113.959045,354.0,0,GMT,GMT
13,-7.9086113,110.50341,146.0,0,GMT,GMT
14,-6.502636,107.51678,68.0,0,GMT,GMT
15,-6.85413,108.121315,232.0,0,GMT,GMT
16,-7.2056236,110.02538,1242.0,0,GMT,GMT
17,-7.486819,111.4686,50.0,0,GMT,GMT
18,-7.627416,112.65306,527.0,0,GMT,GMT
19,-8.049209,113.38462,0.0,0,GMT,GMT
20,-7.486819,109.63498,345.0,0,GMT,GMT
