location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,-2.917399,128.37491,558.0,0,GMT,GMT
1,-2.9876976,130.28986,0.0,0,GMT,GMT
2,-3.6203866,130.0,0.0,0,GMT,GMT
3,-3.6906855,126.59902,785.0,0,GMT,GMT
4,-3.479789,126.21862,359.0,0,GMT,GMT
5,-3.198594,126.90073,425.0,0,GMT,GMT
6,-3.6906855,127.98701,427.0,0,GMT,GMT
7,-3.6203866,128.17517,290.0,0,GMT,GMT
8,-3.2688928,129.18417,420.0,0,GMT,GMT
9,-3.2688928,129.91115,274.0,0,GMT,GMT
10,-2.917399,129.53339,161.0,0,GMT,GMT
11,-3.198594,127.69976,552.0,0,GMT,GMT
12,-2.917399,128.73692,0.0,0,GMT,GMT
13,-2.9876976,129.78261,0.0,0,GMT,GMT
14,-2.9876976,129.78261,0.0,0,GMT,GMT
