Date,Nino Anom 3.4
01/01/2005,0.66
01/02/2005,0.36
01/03/2005,0.45
01/04/2005,0.26
01/05/2005,0.3
01/06/2005,0.04
01/07/2005,-0.23
01/08/2005,-0.05
01/09/2005,-0.04
01/10/2005,-0.06
01/11/2005,-0.59
01/12/2005,-0.92
01/01/2006,-0.91
01/02/2006,-0.67
01/03/2006,-0.71
01/04/2006,-0.32
01/05/2006,-0.09
01/06/2006,0
01/07/2006,0.01
01/08/2006,0.31
01/09/2006,0.6
01/10/2006,0.7
01/11/2006,0.99
01/12/2006,1.14
01/01/2007,0.7
01/02/2007,0.13
01/03/2007,-0.18
01/04/2007,-0.32
01/05/2007,-0.47
01/06/2007,-0.35
01/07/2007,-0.59
01/08/2007,-0.72
01/09/2007,-1.11
01/10/2007,-1.39
01/11/2007,-1.54
01/12/2007,-1.58
01/01/2008,-1.68
01/02/2008,-1.67
01/03/2008,-1.21
01/04/2008,-0.99
01/05/2008,-0.84
01/06/2008,-0.68
01/07/2008,-0.3
01/08/2008,-0.13
01/09/2008,-0.25
01/10/2008,-0.35
01/11/2008,-0.46
01/12/2008,-0.86
01/01/2009,-0.89
01/02/2009,-0.79
01/03/2009,-0.69
01/04/2009,-0.35
01/05/2009,0.06
01/06/2009,0.31
01/07/2009,0.48
01/08/2009,0.56
01/09/2009,0.68
01/10/2009,0.89
01/11/2009,1.46
01/12/2009,1.74
01/01/2010,1.52
01/02/2010,1.25
01/03/2010,0.9
01/04/2010,0.38
01/05/2010,-0.22
01/06/2010,-0.69
01/07/2010,-1.07
01/08/2010,-1.39
01/09/2010,-1.6
01/10/2010,-1.69
01/11/2010,-1.64
01/12/2010,-1.6
01/01/2011,-1.54
01/02/2011,-1.11
01/03/2011,-0.93
01/04/2011,-0.77
01/05/2011,-0.52
01/06/2011,-0.38
01/07/2011,-0.43
01/08/2011,-0.65
01/09/2011,-0.8
01/10/2011,-1.05
01/11/2011,-1.19
01/12/2011,-1.06
01/01/2012,-0.87
01/02/2012,-0.67
01/03/2012,-0.61
01/04/2012,-0.5
01/05/2012,-0.32
01/06/2012,0.02
01/07/2012,0.25
01/08/2012,0.47
01/09/2012,0.38
01/10/2012,0.26
01/11/2012,0.16
01/12/2012,-0.25
01/01/2013,-0.53
01/02/2013,-0.52
01/03/2013,-0.25
01/04/2013,-0.25
01/05/2013,-0.4
01/06/2013,-0.42
01/07/2013,-0.39
01/08/2013,-0.38
01/09/2013,-0.18
01/10/2013,-0.2
01/11/2013,-0.14
01/12/2013,-0.17
01/01/2014,-0.49
01/02/2014,-0.62
01/03/2014,-0.28
01/04/2014,0.08
01/05/2014,0.32
01/06/2014,0.23
01/07/2014,-0.06
01/08/2014,-0.03
01/09/2014,0.29
01/10/2014,0.44
01/11/2014,0.75
01/12/2014,0.71
01/01/2015,0.51
01/02/2015,0.42
01/03/2015,0.47
01/04/2015,0.7
01/05/2015,0.92
01/06/2015,1.18
01/07/2015,1.46
01/08/2015,1.93
01/09/2015,2.21
01/10/2015,2.36
01/11/2015,2.72
01/12/2015,2.66
01/01/2016,2.57
01/02/2016,2.26
01/03/2016,1.62
01/04/2016,0.91
01/05/2016,0.3
01/06/2016,-0.03
01/07/2016,-0.48
01/08/2016,-0.58
01/09/2016,-0.58
01/10/2016,-0.74
01/11/2016,-0.76
