location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,-8.681898,122.48062,434.0,0,GMT,GMT
1,-8.471002,122.551544,9.0,0,GMT,GMT
2,-8.330404,120.25729,163.0,0,GMT,GMT
3,-8.400702,120.82404,473.0,0,GMT,GMT
4,-8.471002,119.922676,85.0,0,GMT,GMT
5,-9.525483,119.60835,351.0,0,GMT,GMT
6,-9.73638,120.39267,120.0,0,GMT,GMT
7,-10.017574,120.42031,0.0,0,GMT,GMT
8,-9.525483,118.98172,50.0,0,GMT,GMT
9,-8.611599,121.600685,103.0,0,GMT,GMT
10,-9.384886,119.869675,172.0,0,GMT,GMT
11,-9.806678,119.868996,356.0,0,GMT,GMT
12,-8.681898,120.69768,724.0,0,GMT,GMT
13,-8.822495,121.13891,1092.0,0,GMT,GMT
14,-8.681898,121.78294,921.0,0,GMT,GMT
