location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,-7.486819,140.73006,41.0,0,GMT,GMT
1,-7.768014,137.98978,7.0,0,GMT,GMT
2,-5.026362,139.26628,22.0,0,GMT,GMT
3,-6.7135324,139.50378,26.0,0,GMT,GMT
4,-6.7135324,140.48781,32.0,0,GMT,GMT
5,-7.486819,139.27844,9.0,0,GMT,GMT
6,-4.745167,136.73787,18.0,0,GMT,GMT
7,-6.0105443,140.51709,35.0,0,GMT,GMT
8,-1.0193322,132.23622,22.0,0,GMT,GMT
9,-5.237258,137.75208,28.0,0,GMT,GMT
10,-8.471002,140.72165,18.0,0,GMT,GMT
11,-2.7768013,133.73494,46.0,0,GMT,GMT
12,-2.28471,139.24121,89.0,0,GMT,GMT
13,-3.2688928,140.74313,429.0,0,GMT,GMT
14,-2.7768013,138.0,84.0,0,GMT,GMT
15,-3.9015818,139.72334,90.0,0,GMT,GMT
16,-1.5114236,133.25417,397.0,0,GMT,GMT
17,-3.7609842,134.01299,354.0,0,GMT,GMT
