location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,5.5184536,95.29851,7.0,0,GMT,GMT
1,4.1124783,96.60685,137.0,0,GMT,GMT
2,5.026362,96.52926,489.0,0,GMT,GMT
3,4.9560633,97.265236,101.0,0,GMT,GMT
4,4.182777,97.71428,725.0,0,GMT,GMT
5,3.6203866,97.15328,1246.0,0,GMT,GMT
6,0.31634447,99.703125,277.0,0,GMT,GMT
7,-0.59753954,100.43887,869.0,0,GMT,GMT
8,0.17574692,102.00468,36.0,0,GMT,GMT
9,-1.3005272,103.79147,7.0,0,GMT,GMT
10,-2.4956064,102.03363,961.0,0,GMT,GMT
11,-2.4253075,104.184,28.0,0,GMT,GMT
12,-3.7609842,103.0138,288.0,0,GMT,GMT
13,2.0738137,99.96813,19.0,0,GMT,GMT
14,2.917399,98.39904,1770.0,0,GMT,GMT
15,1.3708259,101.09881,10.0,0,GMT,GMT
16,-0.59753954,102.766464,7.0,0,GMT,GMT
17,-1.089631,101.489365,186.0,0,GMT,GMT
