run_timestamp,experiment,phase,method,INPUT_LEN,frac_target,n_target,rep_idx,seed,metric_mae,metric_mse,metric_rmse,HORIZON,STRIDE,n_features,target_station_ids,vtt_mae_mean,vtt_mae_std,vtt_mse_mean,vtt_mse_std,vtt_rmse_mean,vtt_rmse_std,vtkm_mae_mean,vtkm_mae_std,vtkm_mse_mean,vtkm_mse_std,vtkm_rmse_mean,vtkm_rmse_std,attf_mae_mean,attf_mae_std,attf_mse_mean,attf_mse_std,attf_rmse_mean,attf_rmse_std,daf_mae_mean,daf_mae_std,daf_mse_mean,daf_mse_std,daf_rmse_mean,daf_rmse_std,tft_non_da_mae_mean,tft_non_da_mae_std,tft_non_da_mse_mean,tft_non_da_mse_std,tft_non_da_rmse_mean,tft_non_da_rmse_std,tft_da_mae_mean,tft_da_mae_std,tft_da_mse_mean,tft_da_mse_std,tft_da_rmse_mean,tft_da_rmse_std,wilcoxon_p_vtt_vtkm_mae,wilcoxon_p_vtt_vtkm_mse,wilcoxon_p_vtt_vtkm_rmse,wilcoxon_p_attf_daf_mae,wilcoxon_p_attf_daf_mse,wilcoxon_p_attf_daf_rmse,wilcoxon_p_tft_mae,wilcoxon_p_tft_mse,wilcoxon_p_tft_rmse,wilcoxon_p_tft_kmm_mae,wilcoxon_p_tft_kmm_mse,wilcoxon_p_tft_kmm_rmse,wilcoxon_p_tft_daf_mae,wilcoxon_p_tft_daf_mse,wilcoxon_p_tft_daf_rmse
2026-05-06 07:59:40,single-station,,arima,14,,,,,0.8292836620497528,1.1662515024913032,1.0799312489650919,7,2,9,['P11'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,single-station,,vu tran transformer,14,,,,,15.73038101196289,254.11654663085938,15.94103342418111,7,2,9,['P11'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,single-station,,vu tran kmm,14,,,,,17.539077758789062,314.28216552734375,17.72800511979122,7,2,9,['P11'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,single-station,,attf,14,,,,,17.791549682617188,431.5469970703125,20.77370927567613,7,2,9,['P11'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,single-station,,daf,14,,,,,0.9398936629295349,1.4791054725646973,1.2161848019789991,7,2,9,['P11'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,single-station,,tft non da,14,,,,,20.019775390625,409.455322265625,20.235002517700195,7,2,9,['P11'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,single-station,,tft da,14,,,,,10.012633323669434,107.16156005859375,10.351886787373292,7,2,9,['P11'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,three-station,,arima,14,,,,,0.9408617293814951,1.4874556887013721,1.2196129257684063,7,2,9,"['P08', 'P11', 'P14']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,three-station,,vu tran transformer,14,,,,,3.343951463699341,14.368587493896484,3.7905919714335496,7,2,9,"['P08', 'P11', 'P14']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,three-station,,vu tran kmm,14,,,,,17.35902976989746,307.9987487792969,17.549893127289888,7,2,9,"['P08', 'P11', 'P14']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
